QID ,URLNO ,PNO ,REL,EXPL,,,,
1,4,1,1,provides the time for the first cases of Ebola occurred,,,,
1,4,2,1,provides the time for the first cases of Ebola occurred,,,,
1,4,3,1,provides the time for the first cases of Ebola occurred,,,,
1,4,4,1,provides the time for the first cases of Ebola occurred,,,,
1,4,5,1,provides the time for the first cases of Ebola occurred,,,,
1,4,6,0,does not address when the first case of Ebola began,,,,
1,4,7,0,does not address when the first case of Ebola began,,,,
1,4,8,0,does not address when the first case of Ebola began,,,,
1,4,9,0,does not address when the first case of Ebola began,,,,
1,4,10,0,does not address when the first case of Ebola began,,,,
2,3,11,1,provides the time for the first cases of Ebola occurred,,,,
2,22,12,1,provides the time for the first cases of Ebola occurred,,,,
2,22,13,1,provides the time for the first cases of Ebola occurred,,,,
2,22,14,1,provides the time for the first cases of Ebola occurred,,,,
2,22,15,1,provides the time for the first cases of Ebola occurred,,,,
2,157,16,0,does not address when the first case of Ebola began,,,,
2,157,17,0,does not address when the first case of Ebola began,,,,
2,157,18,0,does not address when the first case of Ebola began,,,,
2,157,19,0,does not address when the first case of Ebola began,,,,
2,157,20,0,does not address when the first case of Ebola began,,,,
3,5,21,1,provides the time for the first cases of Ebola occurred,,,,
3,4,22,1,provides the time for the first cases of Ebola occurred,,,,
3,4,23,1,provides the time for the first cases of Ebola occurred,,,,
3,3,24,1,provides the time for the first cases of Ebola occurred,,,,
3,3,25,1,provides the time for the first cases of Ebola occurred,,,,
3,5,26,0,does not address when the first case of Ebola began,,,,
3,5,27,0,does not address when the first case of Ebola began,,,,
3,5,28,0,does not address when the first case of Ebola began,,,,
3,5,29,0,does not address when the first case of Ebola began,,,,
3,5,30,0,does not address when the first case of Ebola began,,,,
4,4,31,1,provides the time for the first cases of Ebola occurred,,,,
4,4,32,0,does not address when the first case of Ebola began,,,,
4,4,33,0,does not address when the first case of Ebola began,,,,
4,3,34,1,provides the time for the first cases of Ebola occurred,,,,
4,3,35,1,provides the time for the first cases of Ebola occurred,,,,
4,159,36,1,provides the time for the first cases of Ebola occurred,,,,
4,159,37,1,provides the time for the first cases of Ebola occurred,,,,
4,159,38,0,does not address when the first case of Ebola began,,,,
4,159,39,0,does not address when the first case of Ebola began,,,,
4,159,40,0,does not address when the first case of Ebola began,,,,
5,4,41,0,does not address when the first case of Ebola began,,,,
5,4,42,1,provides the time for the first cases of Ebola occurred,,,,
5,159,43,0,does not address when the first case of Ebola began,,,,
5,160,44,1,provides the time for the first cases of Ebola occurred,,,,
5,160,45,0,does not address when the first case of Ebola began,,,,
5,160,46,1,provides the time for the first cases of Ebola occurred,,,,
5,160,47,1,provides the time for the first cases of Ebola occurred,,,,
5,160,48,0,does not address when the first case of Ebola began,,,,
5,160,49,1,provides the time for the first cases of Ebola occurred,,,,
5,160,50,0,does not address when the first case of Ebola began,,,,
6,162,51,1,provides the time for the first cases of Ebola occurred,,,,
6,4,52,1,provides the time for the first cases of Ebola occurred,,,,
6,160,53,1,provides the time for the first cases of Ebola occurred,,,,
6,160,54,1,provides the time for the first cases of Ebola occurred,,,,
6,160,55,0,does not address when the first case of Ebola began,,,,
6,160,56,1,provides the time for the first cases of Ebola occurred,,,,
6,163,57,0,does not address when the first case of Ebola began,,,,
6,163,58,0,does not address when the first case of Ebola began,,,,
6,163,59,0,does not address when the first case of Ebola began,,,,
6,163,60,0,does not address when the first case of Ebola began,,,,
7,4,61,1,provides the time for the first cases of Ebola occurred,,,,
